date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:47:03	11209/11209	---MC-	200	added ('OK')	text/html	date:Tue,%2023%20Aug%202016%2022:17:02%20GMT	http://10.0.0.6/wordpress/	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/index.html	(from )
03:47:04	983/983	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Aug%202016%2022:17:02%20GMT	http://10.0.0.6/robots.txt		(from )
03:47:04	28266/28266	---M--	200	added ('OK')	text/css	etag:%226e6a-53a210c861980%22	http://10.0.0.6/wordpress/wp-content/themes/twentysixteen/genericons/genericons.css?ver=3.4.1	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/wp-content/themes/twentysixteen/genericons/genericons5589.css	(from http://10.0.0.6/wordpress/)
03:47:05	69779/69779	---M--	200	added ('OK')	text/css	etag:%2211093-53a210c861980%22	http://10.0.0.6/wordpress/wp-content/themes/twentysixteen/style.css?ver=4.6	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/wp-content/themes/twentysixteen/style167b.css	(from http://10.0.0.6/wordpress/)
03:47:06	1674/1674	---M--	200	added ('OK')	application/rss+xml	etag:%222a3cf663fddc8bb8e9c85c710725a0ee%22	http://10.0.0.6/wordpress/index.php/comments/feed/	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/index.php/comments/feed/index.html	(from http://10.0.0.6/wordpress/)
03:47:06	1718/1718	---M--	200	added ('OK')	application/rss+xml	etag:%222a3cf663fddc8bb8e9c85c710725a0ee%22	http://10.0.0.6/wordpress/index.php/feed/	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/index.php/feed/index.html	(from http://10.0.0.6/wordpress/)
03:47:06	842/842	---M--	200	added ('OK')	text/xml	date:Tue,%2023%20Aug%202016%2022:17:05%20GMT	http://10.0.0.6/wordpress/xmlrpc.php?rsd	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/xmlrpc0db0.php	(from http://10.0.0.6/wordpress/)
03:47:07	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0%22	http://10.0.0.6/wordpress/wp-includes/wlwmanifest.xml	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/wp-includes/wlwmanifest.xml	(from http://10.0.0.6/wordpress/)
03:47:07	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%222748-5333ff613c400%22	http://10.0.0.6/wordpress/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://10.0.0.6/wordpress/)
03:47:07	2241/2241	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Aug%202016%2022:17:06%20GMT	http://10.0.0.6/wordpress/wp-login.php	C:/Users/rsharmaindia/Downloads/My%20Web%20Sites/farmhousesinks/10.0.0.6/wordpress/wp-login.html	(from http://10.0.0.6/wordpress/)
